model_id,arch_id,parameters,alpha,epochs,batch_size,activation,window_size,latent_channels,latent_seq_len,train_loss,valid_loss,train_time,mse
C195:D074:43B5:1F6D,56a9,6642,0.9,100,32,l1+alpha*mse,800,18,800,0.0163539160478165,0.0093852136009705,117.30381870269775,0.0006593862199224
9DA0:9BBC:C466:1F4E,7579,14904,0.9,100,32,l1+alpha*mse,800,18,800,0.0165910985120232,0.0097848492566429,183.1387083530426,0.0006753621273674
1803:76A0:CFF1:C397,2619,9990,0.9,100,32,l1+alpha*mse,800,18,800,0.0173989616854055,0.010097146391802,163.24339485168457,0.0007043347577564
C573:D1D7:92FD:DA1D,5c50,0,0.9,100,32,l1+alpha*mse,800,36,800,0.0,0.0,0.0,0.0
ACD4:65B2:31A1:EB63,7579,14904,0.9,100,128,l1+alpha*mse,800,18,800,0.0169470473543633,0.009877474429751,159.161803483963,0.0006944891647435
23B3:C6C0:09AC:3635,56a9,6642,0.9,100,128,l1+alpha*mse,800,18,800,0.0170383273750244,0.009749066034731,89.52301359176636,0.0006743262056261
D1D1:CD78:09C7:F6A7,2619,9990,0.9,100,128,l1+alpha*mse,800,18,800,0.0186452302478029,0.0108156228005619,139.88148951530457,0.0007352526881732047
