model_id,architecture,activation,window_size,latent_dim,train_loss,valid_loss,train_time,mse
CA5B:E21B:71ED:3A1C,CNN-Based,l1+0.7mse,200,25,0.0269197184605901,0.016337156916658,3334.8856856822968,0.0017348414985463
F06D:D524:BFD6:232E,CNN-Based,l1+0.7mse,200,25,0.0325297895993152,0.0198237075454602,1995.012493133545,0.0021157413721084
D86A:2185:C32B:7239,CNN-Based,l1+0.7mse,400,50,0.0328144028646553,0.0197791651629939,4384.179658412933,0.0020641183946281
A3B3:8C1F:43AC:7718,CNN-Based,l1+0.7mse,600,75,0.0327136229359461,0.0196327942733963,7866.015038013458,0.0020316808950155
B4AD:31CC:3620:B782,CNN-Based,l1+0.7mse,800,100,0.0332406550406546,0.0202020535445106,10255.086270809174,0.0022886623628437
7547:B8DA:C870:507A,CNN-Based,l1+0.9mse,200,25,0.0287705775846144,0.017308290874175,1607.8504078388214,0.0015387121820822
829C:AF16:5D58:E61C,CNN-Based,l1+0.9mse,400,50,0.0294047342000029,0.0176352573044855,3246.949666500092,0.0016803791513666
C019:A640:74EF:D675,CNN-Based,l1+0.9mse,600,75,0.0301443464652921,0.0182810805966718,7923.940644025803,0.0017414016183465
102E:5B5E:C956:FD77,CNN-Based,l1+0.9mse,800,100,0.0302780040772045,0.0183423078685466,12537.1456284523,0.0016759884310886
8363:802A:3AC2:C596,CNN-Based,l1+0.9mse,200,25,0.034778709159241,0.0214116055096507,72.32425260543823,0.0021195139270275
D9F2:0A27:942A:1DA0,CNN-Based,l1+0.9mse,200,25,0.0217779087797702,0.0130300258931059,229.3419139385224,0.0010649171890690923
4E09:4C41:54E0:9BF9,CNN-Based,l1+0.9mse,200,25,0.0260321309185914,0.01553712068842,343.5763130187988,0.0011407409328967
372D:4517:E7D3:34E9,CNN-Based,l1+0.9mse,200,not known,0.0295438457867717,0.0181308497324522,436.9132134914398,0.001526974258013
