model_id,arch_id,parameters,alpha,epochs,batch_size,activation,window_size,latent_channels,latent_seq_len,train_loss,valid_loss,train_time,mse
B2EE:874A:0B70:585D,a68f,4293,0.9,100,32,l1+alpha*mse,800,9,800,0.0304855025744051,0.0183539923247216,275.41990208625793,0.0013613370247185
7FF3:4858:DF09:6869,d559,4293,0.9,100,32,l1+alpha*mse,800,9,800,0.0291875491249527,0.0174295938008331,283.39839601516724,0.0013722833245992
D9EA:8C87:8027:C2B1,5dcd,7715,0.9,100,32,l1+alpha*mse,800,9,800,0.0307479862238676,0.0182244182131918,277.54114413261414,0.0013650667387992
7AD8:76A5:0868:8A83,b7e0,6033,0.9,100,32,l1+alpha*mse,800,9,800,0.0319118450808641,0.0185219152398141,285.9720857143402,0.0015267431735992432
